0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:08 +0900] "GET /HomeWork/img/muggle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:08 +0900] "GET /HomeWork/img/ok.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:09 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:09 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:09 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:09 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:10 +0900] "GET /HomeWork/topStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:10 +0900] "GET /HomeWork/img/harry.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:10 +0900] "GET /HomeWork/img/question.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:10 +0900] "GET /HomeWork/img/wizard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:10 +0900] "GET /HomeWork/img/muggle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:10 +0900] "GET /HomeWork/img/ok.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:12 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:12 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:13 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:13 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:14 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:14 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:14 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:14 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:26 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:26 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:26 +0900] "GET /HomeWork/topStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:26 +0900] "GET /HomeWork/img/harry.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:26 +0900] "GET /HomeWork/img/question.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:26 +0900] "GET /HomeWork/img/wizard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:26 +0900] "GET /HomeWork/img/muggle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:26 +0900] "GET /HomeWork/img/ok.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:27 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:27 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:27 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:27 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:27 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:27 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:28 +0900] "GET /HomeWork/topStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:28 +0900] "GET /HomeWork/img/harry.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:28 +0900] "GET /HomeWork/img/question.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:28 +0900] "GET /HomeWork/img/wizard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:28 +0900] "GET /HomeWork/img/muggle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:28 +0900] "GET /HomeWork/img/ok.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:41 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:41 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:41 +0900] "GET /HomeWork/topStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:41 +0900] "GET /HomeWork/img/harry.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:41 +0900] "GET /HomeWork/img/question.png HTTP/1.1" 304 -
